plot,block,comparison,pool,presabu,exposition,orientation,pc1_soil,pc2_soil,pc3_soil,location,location_abb,location_construction_year,river_km,river_distance,construction_year,b,c,d
10,5,1819,target,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.0664,0.0269,0.0934
10,5,1921,target,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.0931,0.2267,0.3198
10,5,1719,target,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.104,0.0393,0.1434
10,5,1721,target,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1322,0.2017,0.3338
10,5,1718,all,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1481,0.037,0.1852
10,5,1819,all,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.2,0.1333,0.3333
10,5,1921,all,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1364,0.1818,0.3182
10,5,1719,all,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.2549,0.0784,0.3333
10,5,1721,all,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.2453,0.1132,0.3585
10,5,1718,all,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.0931,0.0536,0.1467
10,5,1819,all,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.0975,0.0402,0.1377
10,5,1921,all,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.0981,0.2302,0.3283
10,5,1719,all,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1461,0.0495,0.1956
10,5,1721,all,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.163,0.1989,0.3619
11,6,1718,target,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.1613,0.129,0.2903
11,6,1819,target,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.1935,0.2258,0.4194
11,6,1921,target,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.1212,0.1515,0.2727
11,6,1719,target,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.1875,0.1875,0.375
11,6,1721,target,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.1515,0.1818,0.3333
11,6,1718,target,abundance,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.2296,0.2287,0.4582
11,6,1819,target,abundance,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.117,0.1879,0.3049
11,6,1921,target,abundance,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.2733,0.2124,0.4856
11,6,1719,target,abundance,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.198,0.2679,0.4659
11,6,1721,target,abundance,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.0682,0.0773,0.1455
11,6,1718,all,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.3231,0.1538,0.4769
11,6,1819,all,presence,north,water,0.755,-0.2805,0.5257,Oebling,OEB,OEB-2010,2315,1010.1,2010,0.1613,0.2903,0.4516
